# Position (x,y), Width wd, Angle th(deg), Particles: Number Npt, Spacing dw
68.46, 80.48, 45.00,  55.41, 46,  1.00
132.39, 153.37, 41.00,  10.69, 42,  1.00
196.41, 71.72, 41.00, 149.76, 42,  1.00
52.65, 104.88, 33.00,  59.94, 34,  1.00
193.02, 173.88, 41.00, 138.49, 42,  1.00
21.38, 53.06, 42.00, 175.15, 43,  1.00
191.09, 24.23, 35.00, 175.19, 36,  1.00
94.43, 138.47, 41.00,   2.77, 42,  1.00
146.14, 98.82, 37.00,  99.75, 38,  1.00
131.13, 26.74, 47.00, 118.16, 48,  1.00
185.78, 153.40, 42.00,   1.63, 43,  1.00
89.06, 10.77, 32.00, 168.45, 33,  1.00
95.11, 166.16, 38.00,  98.97, 39,  1.00
199.39, 99.32, 42.00,  12.40, 43,  1.00
164.83, 136.82, 38.00,  19.65, 39,  1.00
50.15, 165.72, 45.00,   9.68, 46,  1.00
85.88, 36.79, 35.00, 138.29, 36,  1.00
36.04, 199.90, 40.00,  57.52, 41,  1.00
36.40, 184.44, 30.00,  54.45, 31,  1.00
155.09, 193.32, 38.00,  32.66, 39,  1.00
60.66, 190.57, 35.00,  51.13, 36,  1.00
54.04, 127.02, 45.00,  47.79, 46,  1.00
36.87, 40.16, 41.00,  17.09, 42,  1.00
86.26, 102.34, 46.00, 158.16, 47,  1.00
166.65, 67.07, 47.00, 162.83, 48,  1.00
167.09, 52.20, 41.00, 160.57, 42,  1.00
 0.35, 131.48, 33.00,  75.54, 34,  1.00
126.29, 120.29, 40.00,  65.70, 41,  1.00
140.51, 53.89, 36.00, 139.98, 37,  1.00
78.50, 76.87, 39.00,  71.94, 40,  1.00
113.61, 67.81, 47.00,  41.89, 48,  1.00
127.51, 196.61, 42.00,   7.95, 43,  1.00
16.96, 72.47, 42.00, 160.74, 43,  1.00
169.73, 111.80, 39.00,  12.81, 40,  1.00
97.64, 64.80, 39.00,  61.89, 40,  1.00
50.37, 31.11, 38.00, 177.93, 39,  1.00
15.80, 175.89, 36.00, 104.32, 37,  1.00
161.43, 168.63, 42.00, 171.78, 43,  1.00
56.28, 88.66, 32.00,  69.11, 33,  1.00
29.12, 76.45, 41.00, 154.96, 42,  1.00
140.21, 35.92, 39.00, 115.43, 40,  1.00
66.12, 150.73, 41.00, 160.15, 42,  1.00
32.51, 127.24, 37.00,  18.02, 38,  1.00
185.01, 10.58, 43.00, 158.91, 44,  1.00
85.43, 174.90, 36.00,  95.86, 37,  1.00
89.48, 65.84, 35.00,  71.34, 36,  1.00
24.10, 43.21, 36.00,  11.47, 37,  1.00
66.17, 18.96, 38.00,  29.90, 39,  1.00
138.53, 128.33, 41.00,  58.63, 42,  1.00
106.08, 17.62, 36.00, 169.08, 37,  1.00
147.95, 63.56, 38.00, 163.04, 39,  1.00
104.58, 181.79, 40.00,  97.42, 41,  1.00
 1.68, 105.16, 43.00,  15.66, 44,  1.00
 7.01, 183.09, 31.00, 103.22, 32,  1.00
17.86, 12.37, 35.00, 100.28, 36,  1.00
179.93, 90.25, 33.00, 175.95, 34,  1.00
176.26, 38.69, 38.00,   7.98, 39,  1.00
178.81, 128.05, 42.00,  35.70, 43,  1.00
88.17, 128.30, 41.00,   5.68, 42,  1.00
183.57, 105.86, 40.00,  12.60, 41,  1.00
126.48, 96.40, 43.00,  56.20, 44,  1.00
25.32, 83.38, 46.00, 156.88, 47,  1.00
145.45, 166.20, 42.00, 167.45, 43,  1.00
31.89, 185.99, 34.00,  56.94, 35,  1.00
29.46, 141.77, 37.00, 174.20, 38,  1.00
150.09, 184.57, 38.00,  30.02, 39,  1.00
187.21, 193.86, 38.00, 129.79, 39,  1.00
119.39, 173.59, 37.00,  75.38, 38,  1.00
119.96, 32.35, 46.00, 117.31, 47,  1.00
180.24, 32.47, 41.00,   6.63, 42,  1.00
171.18, 73.05, 37.00, 167.51, 38,  1.00
99.13, 110.05, 35.00, 135.26, 36,  1.00
75.74, 177.65, 37.00, 104.60, 38,  1.00
53.67, 70.98, 38.00,  68.33, 39,  1.00
97.18, 181.62, 37.00, 102.34, 38,  1.00
108.73, 11.12, 41.00, 166.09, 42,  1.00
41.84, 105.24, 39.00,  48.21, 40,  1.00
26.61, 130.05, 30.00,  15.17, 31,  1.00
19.93, 115.40, 31.00, 179.56, 32,  1.00
48.56, 190.90, 40.00,  49.73, 41,  1.00
